Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Total,Currency
INV/2026/4098,03/08/2026,order_Tkka8XeqpIT3Vh,RCPT-D2C-100098,Aarav Patel,Gurugram,Paid,Upi,460.81,INR
INV/2026/4099,15/08/2026,order_94MjvHO31QpGMh,RCPT-D2C-100099,Rehan Khan,Kolkata,Paid,Upi,1241.57,INR
INV/2026/4100,18/08/2026,order_Ho9ugGd1rZiK99,RCPT-D2C-100100,Rehan Nair,Pune,Paid,Upi,405.25,INR
INV/2026/4101,20/08/2026,order_n3MkH6u3WKXv1V,RCPT-D2C-100101,Aarav Das,Mumbai,Paid,Upi,841.45,INR
INV/2026/4102,17/08/2026,order_cB1lcHyBfHEzQL,RCPT-D2C-100102,Kabir Kulkarni,Surat,Paid,Wallet,1973.22,INR
INV/2026/4103,09/08/2026,order_prmZ1e9Ks2cZO3,RCPT-D2C-100103,Vivaan Rao,Kolkata,Paid,Card,1120.67,INR
INV/2026/4104,05/08/2026,order_d4mCoJuqJRYREg,RCPT-D2C-100104,Vivaan Gupta,Kochi,Paid,Upi,1182.86,INR
INV/2026/4105,08/08/2026,order_tVqU4yegX5PzPW,RCPT-D2C-100105,Kavya Sharma,Surat,Paid,Wallet,1477.95,INR
INV/2026/4106,22/08/2026,order_6Ml7FlLTlWdWxs,RCPT-D2C-100106,Vihaan Sethi,Chennai,Paid,Upi,566.13,INR
INV/2026/4107,09/08/2026,order_gpGMPuD9ImDFEz,RCPT-D2C-100107,Arjun Sharma,Gurugram,Paid,Upi,726.45,INR
INV/2026/4108,21/08/2026,order_CFonVxfmZQ8d3A,RCPT-D2C-100108,Sara Iyer,Noida,Paid,Upi,1297.26,INR
INV/2026/4109,24/08/2026,order_3jJqmkVOvnQ0te,RCPT-D2C-100109,Kabir Bhat,Kolkata,Paid,Upi,741.19,INR
INV/2026/4110,17/08/2026,order_igNjxLQ8mXvJ5L,RCPT-D2C-100110,Ishaan Sharma,Chennai,Paid,Upi,1775.93,INR
INV/2026/4111,08/08/2026,order_Ezp6Zr3WDOkYa6,RCPT-D2C-100111,Reyansh Sharma,Hyderabad,Paid,Upi,934.48,INR
INV/2026/4112,19/08/2026,order_nm9cNlD4yN24vX,RCPT-D2C-100112,Anika Menon,Noida,Paid,Upi,2301.61,INR
INV/2026/4113,10/08/2026,order_Vp6qtZ4V5ClPMy,RCPT-D2C-100113,Arjun Khan,Jaipur,Paid,Card,593.86,INR
INV/2026/4114,04/08/2026,order_gHhW1f96EWN294,RCPT-D2C-100114,Vihaan Das,Kochi,Paid,Upi,1068.11,INR
INV/2026/4115,09/08/2026,order_Vsa3vtRZbUiaYJ,RCPT-D2C-100115,Myra Verma,Coimbatore,Paid,Wallet,785.14,INR
INV/2026/4116,21/08/2026,order_ZsjUrpcjqUdkAe,RCPT-D2C-100116,Rehan Rao,Jaipur,Paid,Upi,1356.74,INR
INV/2026/4117,13/08/2026,order_ziqO7nwQQ61e2u,RCPT-D2C-100117,Rehan Khan,Pune,Paid,Upi,731.98,INR
INV/2026/4118,25/08/2026,order_CUYX130bHaJsQY,RCPT-D2C-100118,Vivaan Bose,Ahmedabad,Paid,Upi,304.38,INR
INV/2026/4119,09/08/2026,order_PnXhVzYQBjMAkQ,RCPT-D2C-100119,Ishaan Bose,Kochi,Paid,Wallet,744.30,INR
INV/2026/4120,11/08/2026,order_YXCtwSabpmzQWP,RCPT-D2C-100120,Kavya Joshi,Mumbai,Paid,Upi,456.56,INR
INV/2026/4121,11/08/2026,order_7ds1baeL4EcZfI,RCPT-D2C-100121,Aarav Khan,Kochi,Paid,Upi,1186.91,INR
INV/2026/4122,18/08/2026,order_0rMtVe3Djsva1l,RCPT-D2C-100122,Sara Rao,Gurugram,Paid,Card,1017.64,INR
INV/2026/4123,01/08/2026,order_TP3Yzb2iQTMIDN,RCPT-D2C-100123,Vivaan Bhat,Indore,Paid,Upi,323.85,INR
INV/2026/4124,19/08/2026,order_cSMtNzlndZ7ucN,RCPT-D2C-100124,Diya Menon,Noida,Paid,Wallet,363.67,INR
INV/2026/4125,04/08/2026,order_zNi1KJx6tNhGdG,RCPT-D2C-100125,Advait Khan,Indore,Paid,Card,1159.12,INR
INV/2026/4126,23/08/2026,order_Uj1NJ8zqOZCUYJ,RCPT-D2C-100126,Kavya Bhat,Pune,Paid,Card,2140.47,INR
INV/2026/4127,14/08/2026,order_wyf476FMfR3Tml,RCPT-D2C-100127,Vihaan Patel,Pune,Paid,Upi,1241.27,INR
INV/2026/4128,25/08/2026,order_vXLHy1TzEujdGv,RCPT-D2C-100128,Anika Iyer,Bengaluru,Paid,Card,1031.05,INR
INV/2026/4129,06/08/2026,order_UdPKkiCgQX8MSZ,RCPT-D2C-100129,Reyansh Reddy,Bengaluru,Paid,Card,838.01,INR
INV/2026/4130,02/08/2026,order_lNOPmxygt0D0PE,RCPT-D2C-100130,Kavya Menon,Surat,Paid,Card,764.52,INR
INV/2026/4131,03/08/2026,order_rKJzWxINM7OrVt,RCPT-D2C-100131,Aarav Sethi,Bengaluru,Paid,Upi,601.69,INR
INV/2026/4132,25/08/2026,order_rxvfIQ1s7T5Dvd,RCPT-D2C-100132,Ishaan Verma,Noida,Paid,Upi,757.12,INR
INV/2026/4133,17/08/2026,order_djP4fk67r4tDZq,RCPT-D2C-100133,Sara Kulkarni,Noida,Paid,Wallet,788.88,INR
INV/2026/4134,08/08/2026,order_JViNFWZ2dnCSVF,RCPT-D2C-100134,Advait Khan,Mumbai,Paid,Card,349.55,INR
INV/2026/4135,21/08/2026,order_94gymM219KZhAA,RCPT-D2C-100135,Anika Das,Kochi,Paid,Card,473.65,INR
INV/2026/4136,04/08/2026,order_Y8hzrD6pffXsBD,RCPT-D2C-100136,Anika Bose,Coimbatore,Paid,Card,335.69,INR
INV/2026/4137,05/08/2026,order_wPSxiBajapFz8r,RCPT-D2C-100137,Aditi Rao,Pune,Paid,Card,2358.03,INR
INV/2026/4138,16/08/2026,order_9sLRT58eMnU7cZ,RCPT-D2C-100138,Myra Rao,Noida,Paid,Card,1425.72,INR
INV/2026/4139,16/08/2026,order_eqj2qawERZXt6Z,RCPT-D2C-100139,Kabir Reddy,Hyderabad,Paid,Upi,1568.53,INR
INV/2026/4140,01/08/2026,order_7TKpL9uovsHxZZ,RCPT-D2C-100140,Myra Sethi,Coimbatore,Paid,Card,379.44,INR
INV/2026/4141,06/08/2026,order_A2kqPkbZNkuRy2,RCPT-D2C-100141,Arjun Gupta,Gurugram,Paid,Upi,2787.64,INR
INV/2026/4142,25/08/2026,order_tExmm0gRmN5OTG,RCPT-D2C-100142,Vihaan Joshi,Bengaluru,Paid,Upi,870.82,INR
INV/2026/4143,03/08/2026,order_0dHeOSo7V9VhkO,RCPT-D2C-100143,Kavya Bose,Surat,Paid,Wallet,1047.93,INR
INV/2026/4144,19/08/2026,order_laOq34DzX9iVqQ,RCPT-D2C-100144,Rehan Gupta,Noida,Paid,Upi,922.01,INR
INV/2026/4145,22/08/2026,order_xMytvMxQMjws1S,RCPT-D2C-100145,Aarav Sharma,Mumbai,Paid,Upi,780.21,INR
INV/2026/4146,14/08/2026,order_ztdxGVG2JXx4ef,RCPT-D2C-100146,Rehan Gupta,Surat,Paid,Card,652.13,INR
INV/2026/4147,19/08/2026,order_YKz51bIIAHNuli,RCPT-D2C-100147,Aarav Nair,Ahmedabad,Paid,Upi,638.17,INR
INV/2026/4148,07/08/2026,order_GGl4I8Mcdkl6or,RCPT-D2C-100148,Vihaan Iyer,Surat,Paid,Upi,1450.61,INR
INV/2026/4149,13/08/2026,order_4OAZkyv0OovvpC,RCPT-D2C-100149,Diya Bhat,Bengaluru,Paid,Card,1130.07,INR
INV/2026/4150,08/08/2026,order_zhKngUGgy94Y64,RCPT-D2C-100150,Aarav Nair,Kolkata,Paid,Upi,429.09,INR
INV/2026/4151,20/08/2026,order_NHtpvNqbHnFihW,RCPT-D2C-100151,Ananya Nair,Chennai,Paid,Card,684.55,INR
INV/2026/4152,10/08/2026,order_7nkpN6wuwyF6B1,RCPT-D2C-100152,Aarav Gupta,Surat,Paid,Upi,243.75,INR
INV/2026/4153,02/08/2026,order_p7ewn1wwwURzPA,RCPT-D2C-100153,Aarav Rao,Gurugram,Paid,Wallet,320.55,INR
INV/2026/4154,12/08/2026,order_iH9dKNhDpqiP86,RCPT-D2C-100154,Vihaan Patel,Gurugram,Paid,Upi,1026.45,INR
INV/2026/4155,01/08/2026,order_VQ9BFs3NpQn9pp,RCPT-D2C-100155,Arjun Nair,Jaipur,Paid,Upi,321.67,INR
INV/2026/4156,13/08/2026,order_5GQTZassLcu4G3,RCPT-D2C-100156,Sara Rao,Surat,Paid,Upi,987.35,INR
INV/2026/4157,13/08/2026,order_qqlTqQLCJeG1DY,RCPT-D2C-100157,Vihaan Khan,Bengaluru,Paid,Upi,937.48,INR
INV/2026/4157-DUP,13/08/2026,order_qqlTqQLCJeG1DY,RCPT-D2C-100157,Vihaan Khan,Bengaluru,Paid,Upi,937.48,INR
INV/2026/4158,03/08/2026,order_3P6yKSwY7wBOpM,RCPT-D2C-100158,Myra Joshi,Gurugram,Paid,Upi,3220.13,INR
INV/2026/4159,16/08/2026,order_fFZHfe7L6ObcDH,RCPT-D2C-100159,Aditi Joshi,Ahmedabad,Paid,Upi,496.75,INR
INV/2026/4160,11/08/2026,order_3UNGFeQd78dyuI,RCPT-D2C-100160,Anika Rao,Mumbai,Paid,Upi,1066.58,INR
INV/2026/4161,07/08/2026,order_vCipOxfqmIpXJY,RCPT-D2C-100161,Ishaan Khan,Bengaluru,Paid,Card,2385.65,INR
INV/2026/4162,24/08/2026,order_8eOEeXg28vfrNn,RCPT-D2C-100162,Kavya Sethi,Gurugram,Paid,Upi,1685.93,INR
INV/2026/4163,15/08/2026,order_JmzQmdejjtYIQP,RCPT-D2C-100163,Aditi Verma,Pune,Paid,Wallet,1038.58,INR
INV/2026/4164,17/08/2026,order_vR98taGDb60G9B,RCPT-D2C-100164,Vihaan Bose,Coimbatore,Paid,Upi,905.76,INR
INV/2026/4165,05/08/2026,order_zX5h9jMbEl5QkY,RCPT-D2C-100165,Reyansh Verma,Chennai,Paid,Upi,625.00,INR
INV/2026/4166,09/08/2026,order_Ld9UyObF9NiaZ9,RCPT-D2C-100166,Vivaan Joshi,Noida,Paid,Upi,858.61,INR
INV/2026/4167,25/08/2026,order_VkiWWtwbULzesB,RCPT-D2C-100167,Ishaan Kulkarni,Chennai,Paid,Wallet,388.79,INR
INV/2026/4168,21/08/2026,order_xlCM5AmiaujRBE,RCPT-D2C-100168,Reyansh Sharma,Pune,Paid,Card,482.77,INR
INV/2026/4169,09/08/2026,order_3QVD7FQKQFEnDs,RCPT-D2C-100169,Sara Sethi,Pune,Paid,Card,445.74,INR
INV/2026/4170,18/08/2026,order_y0OnF0qekbIAM7,RCPT-D2C-100170,Reyansh Das,Kolkata,Paid,Card,576.70,INR
INV/2026/4171,18/08/2026,order_Tq5QIKDOdxV0tt,RCPT-D2C-100171,Kabir Kulkarni,Chennai,Paid,Upi,1135.94,INR
INV/2026/4172,10/08/2026,order_h3XrtehTxEGqEn,RCPT-D2C-100172,Rehan Nair,Hyderabad,Paid,Upi,1056.32,INR
INV/2026/4173,17/08/2026,order_GxdFo7RIC286jI,RCPT-D2C-100173,Diya Bose,Indore,Paid,Upi,994.66,INR
INV/2026/4174,25/08/2026,order_UK0im1aKPLYwzb,RCPT-D2C-100174,Vivaan Reddy,Gurugram,Paid,Upi,644.36,INR
INV/2026/4175,18/08/2026,order_tMuyIvM69fG30g,RCPT-D2C-100175,Reyansh Sharma,Hyderabad,Paid,Upi,862.32,INR
INV/2026/4176,23/08/2026,order_QmC5C8UO2U04R8,RCPT-D2C-100176,Vivaan Joshi,Noida,Paid,Upi,616.92,INR
INV/2026/4177,04/08/2026,order_KwJ0TQgpUYb1TI,RCPT-D2C-100177,Sara Iyer,Chennai,Paid,Netbanking,2198.03,INR
INV/2026/4178,06/08/2026,order_NuVXPEGHU4B5yB,RCPT-D2C-100178,Rehan Iyer,Gurugram,Paid,Card,2249.53,INR
INV/2026/4179,21/08/2026,order_15hEecaA49qONN,RCPT-D2C-100179,Diya Bhat,Jaipur,Paid,Card,617.96,INR
INV/2026/4180,01/08/2026,order_vbKYotE7aMUTVg,RCPT-D2C-100180,Aarav Gupta,Jaipur,Paid,Upi,1656.51,INR
INV/2026/4181,18/08/2026,order_5g25t5t9Ngd7Jj,RCPT-D2C-100181,Arjun Bhat,Coimbatore,Paid,Upi,1341.91,INR
INV/2026/4182,01/08/2026,order_vdtmtNR11b7gDf,RCPT-D2C-100182,Anika Nair,Surat,Paid,Netbanking,1529.32,INR
INV/2026/4183,18/08/2026,order_nbTTKoNcFJMlUH,RCPT-D2C-100183,Ishaan Verma,Ahmedabad,Paid,Upi,2219.87,INR
INV/2026/4184,25/08/2026,order_ubVWts1ZpJd31k,RCPT-D2C-100184,Diya Sethi,Chennai,Paid,Upi,795.05,INR
INV/2026/4185,23/08/2026,order_ZyUlkrOVz8KjjZ,RCPT-D2C-100185,Kabir Reddy,Pune,Paid,Upi,1837.60,INR
